2025-04-25 13:26:22 [[32minfo[39m]: 	Leave details retrieved successfully
2025-04-25 13:26:22 [[32minfo[39m]: 	::1 - - [25/Apr/2025:07:56:22 +0000] "GET /users/api/v1/leave/680b3726d98c98bf56b24f83 HTTP/1.1" 200 378 "-" "PostmanRuntime/7.43.3"
2025-04-25 13:32:29 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:02:29 +0000] "GET /api-docs/ HTTP/1.1" 200 3106 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:32:29 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:02:29 +0000] "GET /api-docs/swagger-ui-init.js HTTP/1.1" 200 4825 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:32:29 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:02:29 +0000] "GET /api-docs/swagger-ui.css HTTP/1.1" 200 154986 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:32:29 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:02:29 +0000] "GET /api-docs/swagger-ui-standalone-preset.js HTTP/1.1" 200 229223 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:32:29 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:02:29 +0000] "GET /api-docs/swagger-ui-bundle.js HTTP/1.1" 200 1468326 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:32:31 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:02:31 +0000] "GET /firebase-messaging-sw.js HTTP/1.1" 404 163 "http://localhost:3000/firebase-messaging-sw.js" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:32:50 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:02:50 +0000] "GET /api-docs/ HTTP/1.1" 200 3106 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:32:50 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:02:50 +0000] "GET /api-docs/swagger-ui-init.js HTTP/1.1" 200 4825 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:32:50 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:02:50 +0000] "GET /api-docs/swagger-ui.css HTTP/1.1" 200 154986 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:32:50 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:02:50 +0000] "GET /api-docs/swagger-ui-standalone-preset.js HTTP/1.1" 200 229223 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:32:50 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:02:50 +0000] "GET /api-docs/swagger-ui-bundle.js HTTP/1.1" 200 1468326 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:32:50 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:02:50 +0000] "GET /api-docs/favicon-32x32.png HTTP/1.1" 200 628 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:34:15 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:04:15 +0000] "GET /api-docs/ HTTP/1.1" 200 3106 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:34:15 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:04:15 +0000] "GET /api-docs/swagger-ui-init.js HTTP/1.1" 200 24032 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:34:15 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:04:15 +0000] "GET /api-docs/swagger-ui.css HTTP/1.1" 200 154986 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:34:15 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:04:15 +0000] "GET /api-docs/swagger-ui-standalone-preset.js HTTP/1.1" 200 229223 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:34:15 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:04:15 +0000] "GET /api-docs/swagger-ui-bundle.js HTTP/1.1" 200 1468326 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:34:15 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:04:15 +0000] "GET /api-docs/favicon-32x32.png HTTP/1.1" 200 628 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:36:40 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:06:40 +0000] "GET /api-docs/ HTTP/1.1" 200 3106 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:36:40 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:06:40 +0000] "GET /api-docs/swagger-ui-init.js HTTP/1.1" 200 24124 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:36:40 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:06:40 +0000] "GET /api-docs/swagger-ui.css HTTP/1.1" 200 154986 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:36:40 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:06:40 +0000] "GET /api-docs/swagger-ui-standalone-preset.js HTTP/1.1" 200 229223 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:36:40 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:06:40 +0000] "GET /api-docs/swagger-ui-bundle.js HTTP/1.1" 200 1468326 "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
2025-04-25 13:36:40 [[32minfo[39m]: 	::1 - - [25/Apr/2025:08:06:40 +0000] "GET /api-docs/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:3000/api-docs/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
